magnitude,cdi,mmi,alert,tsunami,sig,net,dmin,gap,depth
6.5,0,3,green,1,650,pt,0.0,208.8,37.0
8.2,8,7,yellow,1,1252,ak,0.0,0.0,35.0
6.5,7,4,green,0,657,us,7.177,25.0,192.955
7.3,0,5,green,1,820,at,0.879451,172.8,21.0
6.5,8,6,yellow,0,775,us,0.679,40.0,69.727
6.6,7,5,green,0,899,us,1.634,28.0,171.371
7.2,6,6,green,1,860,us,0.907,36.0,32.571
6.6,5,4,green,1,802,us,2.454,37.0,10.0
6.9,4,4,green,1,741,us,1.179,23.0,229.0
7.2,8,6,green,1,804,us,2.59,24.0,167.404
6.6,6,6,green,1,733,us,2.163,129.0,10.0
7.1,3,4,green,1,777,us,2.812,56.0,35.981
7.7,5,4,green,1,927,us,3.111,15.0,18.027
7.6,8,6,green,1,907,us,3.631,17.0,210.097
6.6,0,2,green,0,670,us,5.123,50.0,598.467
7.1,9,7,green,0,838,us,2.282,58.0,15.462
7.1,8,7,green,1,777,us,0.708,23.0,43.063
6.7,0,3,green,1,691,us,4.719,10.0,595.854
7.0,5,3,green,0,818,us,1.881,31.0,594.028
6.5,7,6,yellow,1,655,us,0.266,30.0,105.631
7.0,7,7,green,1,781,us,6.45,31.0,62.603
6.5,4,4,green,0,656,us,1.622,33.0,209.976
6.5,7,5,green,0,1350,us,2.53,13.0,187.589
6.8,9,7,orange,1,1159,us,0.709,28.0,65.842
7.0,8,5,green,1,756,us,1.789,22.0,22.065
6.9,5,5,green,1,735,us,0.784,18.0,205.681
6.5,7,6,green,1,653,us,5.483,45.0,10.0
6.5,4,2,green,1,652,us,2.739,20.0,598.925
6.8,9,7,green,0,737,us,1.783,20.0,20.522
7.5,9,9,orange,0,1411,us,0.85,17.0,10.0
6.7,9,8,yellow,0,800,us,0.218,44.0,14.497
7.8,9,9,red,0,2910,us,1.919,32.0,17.925
6.8,4,3,green,0,718,us,5.129,61.0,610.671
7.0,3,5,green,1,756,us,1.974,17.0,28.566
7.6,5,7,green,0,957,us,1.575,21.0,105.249
7.0,8,7,green,1,768,us,6.096,36.0,29.0
6.8,5,5,green,1,720,us,2.587,26.0,38.0
7.0,8,7,green,1,768,us,0.509,17.0,14.0
6.9,4,4,green,0,735,us,2.229,34.0,25.0
7.0,3,3,green,1,755,us,3.125,18.0,579.0
7.3,5,5,green,1,833,us,1.865,21.0,37.0
6.6,0,2,green,1,670,us,4.998,27.0,624.464
7.0,4,3,green,1,755,us,4.578,26.0,660.0
6.8,1,3,green,1,711,us,4.678,22.0,630.379
6.7,7,6,green,1,797,us,1.151,37.0,20.0
6.8,8,7,yellow,1,1179,us,2.137,92.0,20.0
7.6,9,8,yellow,1,1799,us,1.153,69.0,26.943
6.9,9,9,yellow,1,887,us,0.401,34.0,10.0
6.5,7,7,green,1,756,us,0.43,54.0,10.0
7.0,7,5,green,1,761,us,2.977,45.0,137.0
7.6,8,8,yellow,1,965,us,3.158,12.0,116.0
6.6,9,8,orange,0,1043,us,8.454,34.0,12.0
6.6,7,6,green,1,672,us,5.293,34.0,30.0
7.0,9,8,yellow,1,1351,us,5.276,22.0,33.729
6.5,3,2,green,0,653,us,1.999,31.0,622.73
7.2,7,5,green,1,876,us,2.494,40.0,236.0
6.9,2,5,green,1,733,us,0.371,45.0,10.0
6.8,6,5,green,1,762,us,1.505,30.0,220.0
6.6,6,5,green,1,762,us,0.914,94.0,27.0
7.0,6,4,green,1,763,us,2.705,26.0,10.0
6.9,6,4,green,1,738,us,2.697,42.0,10.0
6.7,8,7,green,1,806,us,0.289,32.0,24.0
7.3,9,8,red,1,2397,us,2.936,29.0,41.0
6.7,9,6,green,0,708,us,2.188,43.0,28.0
6.6,2,7,green,1,670,us,0.827,46.0,24.0
6.8,2,3,green,1,712,us,5.78,12.0,535.0
6.5,8,6,green,0,690,us,3.026,22.0,110.0
6.5,7,4,green,1,651,us,1.088,57.0,8.0
6.6,8,6,green,0,785,us,2.418,22.0,33.0
6.5,0,3,green,1,650,at,1.61607,108.0,37.0
6.6,8,5,green,1,674,us,0.507,49.0,19.0
6.7,0,4,green,1,691,at,0.936943,126.0,33.0
6.7,0,4,green,1,691,pt,0.0,205.2,33.0
6.8,7,6,green,1,730,us,0.92,61.0,20.0
6.6,6,6,green,0,976,us,1.168,21.0,21.0
6.6,9,8,orange,0,1012,us,2.685,13.0,13.0
7.3,8,7,green,0,921,us,3.713,19.0,165.49
7.3,9,5,green,1,854,us,1.025,32.0,14.27
7.5,8,8,yellow,1,1094,us,4.951,40.0,126.0
6.6,7,4,green,1,688,us,3.259,15.0,12.0
6.9,8,6,green,1,995,ak,0.0,0.0,51.6
6.9,4,3,green,1,740,us,4.778,31.0,535.0
7.3,4,4,green,1,826,us,4.493,32.0,527.0
6.5,7,5,green,1,684,us,0.993,114.0,21.0
7.0,8,8,red,1,2504,us,0.07,43.0,20.0
7.1,1,4,green,1,776,us,9.799,32.0,6.0
6.6,1,3,green,1,670,us,8.865,19.0,7.0
6.9,8,7,green,1,741,us,0.579,54.0,93.0
6.9,6,4,green,1,734,us,8.363,48.0,16.7
7.2,9,8,red,1,2331,us,1.178,23.0,10.0
6.9,5,4,green,1,738,ak,0.0,0.0,33.3
6.9,5,4,green,1,738,us,1.173,36.0,20.74
8.1,0,7,green,0,1009,us,7.463,78.0,22.79
7.5,9,6,green,1,868,us,7.227,38.0,47.23
7.1,9,7,green,1,846,us,1.273,25.0,55.14
8.2,8,6,green,1,1237,us,0.875,66.0,46.66
6.7,8,5,green,1,935,us,8.139,12.0,110.0
6.7,6,6,green,1,830,us,1.395,61.0,10.0
6.5,0,4,green,1,650,us,7.994,24.0,25.0
6.5,5,7,green,1,652,us,4.518,44.0,10.0
7.3,9,9,orange,0,1025,us,4.655,9.0,10.0
6.7,8,4,green,0,698,us,1.487,37.0,11.0
6.7,9,3,green,0,694,us,10.669,45.0,10.0
6.9,7,6,green,1,919,us,2.619,35.0,43.0
6.5,4,4,green,0,651,us,5.931,20.0,246.0
6.5,6,4,green,0,652,us,10.405,19.0,301.0
7.0,7,7,yellow,1,1052,us,2.378,35.0,43.0
6.6,5,5,green,1,672,us,3.183,18.0,13.23
6.5,0,4,green,0,650,us,11.764,25.0,24.0
8.1,9,8,green,1,1021,us,0.739,21.0,28.93
7.4,3,7,green,1,843,us,0.437,30.0,43.0
7.3,7,6,green,1,932,us,0.918,24.0,10.0
7.1,9,8,orange,1,1612,us,3.085,11.0,43.98
7.7,9,4,green,1,918,us,7.989,15.0,10.0
6.9,9,5,green,1,739,us,1.55,16.0,15.0
7.0,7,5,green,1,802,us,2.821,15.0,80.0
6.7,8,8,green,0,776,us,2.043,22.0,10.0
6.7,5,5,green,1,776,us,1.319,19.0,10.0
7.0,8,7,orange,0,1527,us,1.518,18.0,21.0
7.6,9,7,yellow,1,1165,us,0.23,36.0,28.37
6.9,0,3,green,1,732,us,11.255,16.0,10.0
6.5,6,6,green,0,674,us,0.388,49.0,16.0
6.8,6,7,green,1,824,us,0.312,69.0,21.0
6.5,4,5,green,0,651,us,15.394,31.0,10.0
6.9,4,3,green,0,749,us,2.267,20.0,624.0
6.9,4,4,green,0,735,us,1.716,25.0,26.0
6.8,5,4,green,0,716,us,1.816,34.0,22.0
6.6,9,8,yellow,1,784,us,5.128,14.0,10.0
7.8,9,7,green,1,1111,us,0.621,60.0,28.0
7.0,6,7,green,1,820,us,1.671,18.0,73.0
6.6,4,2,green,0,684,us,1.458,14.0,533.76
7.4,8,8,orange,1,1494,us,0.151,30.0,20.0
7.4,7,7,green,1,873,us,4.035,23.0,10.0
6.6,5,4,green,1,734,us,2.015,18.0,165.0
6.8,6,6,green,1,835,us,1.164,21.0,112.0
6.5,7,8,green,0,1320,nn,0.357,55.79,2.7
6.6,4,6,green,1,671,us,3.403,12.0,107.0
6.8,4,6,green,0,738,us,1.921,16.0,96.0
6.5,7,6,green,0,678,us,1.293,19.0,10.0
6.5,8,8,green,0,1410,us,0.885,31.0,12.06
7.5,6,5,green,1,879,us,4.109,12.0,57.8
7.0,5,6,yellow,1,770,us,4.501,25.0,143.0
7.7,9,6,yellow,1,1812,us,1.657,26.0,14.86
6.7,8,9,orange,0,1247,us,0.87,49.0,10.0
6.8,9,7,yellow,1,825,us,0.546,39.0,18.0
7.1,6,6,green,1,799,us,1.271,11.0,33.0
6.5,0,2,green,0,650,us,4.765,25.0,577.0
6.6,4,4,green,1,673,us,5.086,48.0,10.0
6.5,9,7,green,1,733,us,0.428,19.0,10.0
6.6,9,7,yellow,1,780,us,0.646,24.0,15.0
6.7,7,6,green,1,844,us,1.269,98.0,11.0
6.5,7,7,yellow,1,656,us,3.909,15.0,12.26
6.6,2,3,green,1,671,us,4.121,19.0,591.0
6.6,0,4,green,1,670,us,12.896,19.0,16.0
6.9,4,6,green,0,875,us,2.839,23.0,49.0
